�1;un;rapace;12;22;22;ss;dd;ff;gg;hh;hh;hh;hh;hh;;;;;;
88;Accipitriformes;Accipitridae;2836;192082;2836;Espèce;"Elanus caeruleus";"(Desfontaines, 1789)";"Elanus caeruleus (Desfontaines, 1789)";"Elanus caeruleus (Desfontaines, 1789)";"Élanion blanc";;Chordata;Aves;Animalia;;;;;
89;Accipitriformes;Accipitridae;2838;0;2836;Espèce;"Falco caeruleus";"Desfontaines, 1789";"Falco caeruleus Desfontaines, 1789";"Elanus caeruleus (Desfontaines, 1789)";"Élanion blanc";;Chordata;Aves;Animalia;;;;;
90;Accipitriformes;Accipitridae;441889;192082;441889;Espèce;"Elanus leucurus";"Vieillot, 1818";"Elanus leucurus Vieillot, 1818";"Elanus leucurus Vieillot, 1818";"""Élanion à queue blanche """;;Chordata;Aves;Animalia;;;;;
91;Accipitriformes;Accipitridae;441944;440400;441944;Espèce;"Gampsonyx swainsonii";"Vigors, 1825";"Gampsonyx swainsonii Vigors, 1825";"Gampsonyx swainsonii Vigors, 1825";"""Élanion perle """;;Chordata;Aves;Animalia;;;;;
92;Accipitriformes;Accipitridae;441696;0;720247;Espèce;"Buteo albicaudatus";"Vieillot, 1816";"Buteo albicaudatus Vieillot, 1816";"Geranoaetus albicaudatus (Vieillot, 1816)";"Buse à queue blanche";"White-tailed Hawk";Chordata;Aves;Animalia;;;;;
93;Accipitriformes;Accipitridae;720247;720246;720247;Espèce;"Geranoaetus albicaudatus";"(Vieillot, 1816)";"Geranoaetus albicaudatus (Vieillot, 1816)";"Geranoaetus albicaudatus (Vieillot, 1816)";"Buse à queue blanche";"White-tailed Hawk";Chordata;Aves;Animalia;;;;;
94;Accipitriformes;Accipitridae;828824;720247;828824;Sous-espèce;"Geranoaetus albicaudatus colonus";"Berlepsch, 1892";"Geranoaetus albicaudatus colonus Berlepsch, 1892";"Geranoaetus albicaudatus colonus Berlepsch, 1892";;;Chordata;Aves;Animalia;;;;;
95;Accipitriformes;Accipitridae;441950;440404;441950;Espèce;"Geranospiza caerulescens";"(Vieillot, 1817)";"Geranospiza caerulescens (Vieillot, 1817)";"Geranospiza caerulescens (Vieillot, 1817)";"""Buse échasse """;;Chordata;Aves;Animalia;;;;;
96;Accipitriformes;Accipitridae;2852;192992;2852;Espèce;"Gypaetus barbatus";"(Linnaeus, 1758)";"Gypaetus barbatus (Linnaeus, 1758)";"Gypaetus barbatus (Linnaeus, 1758)";"Gypaète barbu";;Chordata;Aves;Animalia;;;;;
97;Accipitriformes;Accipitridae;2854;0;2852;Espèce;"Vultur barbatus";"Linnaeus, 1758";"Vultur barbatus Linnaeus, 1758";"Gypaetus barbatus (Linnaeus, 1758)";"Gypaète barbu";;Chordata;Aves;Animalia;;;;;
98;Accipitriformes;Accipitridae;2860;192993;2860;Espèce;"Gyps fulvus";"(Hablizl, 1783)";"Gyps fulvus (Hablizl, 1783)";"Gyps fulvus (Hablizl, 1783)";"Vautour fauve";"Eurasian Griffon Vulture";Chordata;Aves;Animalia;;;;;
